,action,effectiveness
47,Add inorganic fertilizer: freshwater marshes,Unknown effectiveness (limited evidence)
48,Add inorganic fertilizer: freshwater swamps,No evidence found (no assessment)
49,Add lights to fishing gear,Awaiting assessment
50,Add lime (before/after planting),Likely to be ineffective or harmful
51,Add lime or similar chemicals before/after planting non-woody plants: brackish/saline wetlands,Unknown effectiveness (limited evidence)
52,Add lime or similar chemicals before/after planting non-woody plants: freshwater wetlands,No evidence found (no assessment)
53,Add lime or similar chemicals before/after planting trees/shrubs: brackish/saline wetlands,No evidence found (no assessment)
54,Add lime or similar chemicals before/after planting trees/shrubs: freshwater wetlands,No evidence found (no assessment)
55,Add lime or similar chemicals: brackish/saline swamps,No evidence found (no assessment)
56,Add lime or similar chemicals: brackish/salt marshes,No evidence found (no assessment)
57,Add lime or similar chemicals: freshwater marshes,Unknown effectiveness (limited evidence)
58,Add lime or similar chemicals: freshwater swamps,Unknown effectiveness (limited evidence)
59,Add lime to reduce acidity and/or increase fertility,Unknown effectiveness (limited evidence)
60,Add lime to shrubland to reduce the impacts of sulphur dioxide pollution,No evidence found (no assessment)
61,Add lime to the soil after tree planting,Unknown effectiveness (limited evidence)
62,Add lime to the soil to increase fertility,Unknown effectiveness (limited evidence)
63,Add lime to water bodies to reduce acidification,Trade-off between benefit and harms
64,Add manure to soil,Unknown effectiveness (limited evidence)
65,Add mixed vegetation to peatland surface,Beneficial
66,Add mosses to peatland surface,Beneficial
67,Add mulch and fertilizer to soil,Unknown effectiveness (limited evidence)
68,Add mulch and fertilizer to soil (alongside planting/seeding),Unknown effectiveness (limited evidence)
69,Add mulch before or after seeding/planting,Evidence not assessed
70,Add mulch to control grass,Unknown effectiveness (limited evidence)
71,Add mulch to control grass and sow seed,Unknown effectiveness (limited evidence)
72,Add mulch to crops,Trade-off between benefit and harms
73,Add mulch to soil (alongside planting/seeding),Unknown effectiveness (limited evidence)
74,Add nutrients to new ponds as larvae food source,No evidence found (no assessment)
75,Add organic fertilizer (before/after planting),No evidence found (no assessment)
76,Add organic matter,Trade-off between benefit and harms
77,Add organic matter after tree planting,Unknown effectiveness (limited evidence)
78,Add peat to soil,No evidence found (no assessment)
79,Add peat to soil (alongside planting/seeding),Unknown effectiveness (limited evidence)
80,Add perches to electricity pylons to reduce electrocution,Unlikely to be beneficial
81,Add root associated bacteria/fungi to introduced plants,Unknown effectiveness (limited evidence)
82,Add root-associated fungi to plants (before planting),Unknown effectiveness (limited evidence)
83,Add root-associated fungi to plants before planting,No evidence found (no assessment)
84,Add salt to control problematic plants: brackish/saline swamps,No evidence found (no assessment)
85,Add salt to control problematic plants: brackish/salt marshes,Unknown effectiveness (limited evidence)
86,Add salt to control problematic plants: freshwater marshes,No evidence found (no assessment)
87,Add salt to control problematic plants: freshwater swamps,No evidence found (no assessment)
88,Add salt to ponds to reduce chytridiomycosis,Unknown effectiveness (limited evidence)
89,Add sediment: brackish/saline swamps,No evidence found (no assessment)
90,Add sediment: brackish/salt marshes,Likely to be beneficial
91,Add sediment: freshwater marshes,Unknown effectiveness (limited evidence)
92,Add sediment: freshwater swamps,No evidence found (no assessment)
93,Add specific plants to aquatic habitats,No evidence found (no assessment)
94,Add sulphur to soil,Unknown effectiveness (limited evidence)
95,Add sulphur to soil (alongside planting/seeding),Unknown effectiveness (limited evidence)
96,Add sulphur to soil before seeding/planting,Evidence not assessed
97,Add surface mulch before/after planting non-woody plants: brackish/saline wetlands,Unknown effectiveness (limited evidence)
98,Add surface mulch before/after planting non-woody plants: freshwater wetlands,Unknown effectiveness (limited evidence)
99,Add surface mulch before/after planting trees/shrubs: brackish/saline wetlands,No evidence found (no assessment)
100,Add surface mulch before/after planting trees/shrubs: freshwater wetlands,Unknown effectiveness (limited evidence)
101,Add surface mulch: brackish/saline swamps,No evidence found (no assessment)
102,Add surface mulch: brackish/salt marshes,Unknown effectiveness (limited evidence)
103,Add surface mulch: freshwater marshes,No evidence found (no assessment)
104,Add surface mulch: freshwater swamps,No evidence found (no assessment)
105,Add topsoil,Likely to be beneficial
106,Add topsoil (alongside planting/seeding),Unknown effectiveness (limited evidence)
107,Add topsoil before seeding/planting,Evidence not assessed
108,Add upland topsoil,No evidence found (no assessment)
109,Add upland topsoil before/after planting non-woody plants: brackish/saline wetlands,No evidence found (no assessment)
110,Add upland topsoil before/after planting non-woody plants: freshwater wetlands,Unknown effectiveness (limited evidence)
111,Add upland topsoil before/after planting trees/shrubs: brackish/saline wetlands,No evidence found (no assessment)
112,Add upland topsoil before/after planting trees/shrubs: freshwater wetlands,No evidence found (no assessment)
113,Add water to marshes or swamps to compensate for drought,No evidence found (no assessment)
114,Add water to peatlands to compensate for drought,No evidence found (no assessment)
115,Add woody debris to forests,Unknown effectiveness (limited evidence)
116,Add woody debris to landscapes,Awaiting assessment
117,Add woody debris to ponds,No evidence found (no assessment)
118,Add woody debris to protect seeds/plants,Evidence not assessed
119,Add yellow rattle seed Rhinanthus minor to hay meadows,Unknown effectiveness (limited evidence)
120,Adopt certification,Unknown effectiveness (limited evidence)
121,Adopt community-based management to protect forests,Unknown effectiveness (limited evidence)
122,Adopt conservation grazing of woodland,No evidence found (no assessment)
123,Adopt continuous cover forestry,No evidence found (no assessment)
124,Adopt ecotourism,No evidence found (no assessment)
125,Adopt ecotourism principles/create an ecotourism site,No evidence found (no assessment)
126,Adopt ecotourism principles/create an ecotourism site,No evidence found (no assessment)
127,Adopt protected species legislation (impact on forest management),No evidence found (no assessment)
128,Adopt voluntary agreements to protect peatlands,No evidence found (no assessment)
129,Adopt zero burning policies near peatlands,No evidence found (no assessment)
130,Aerobic training,Awaiting assessment
131,Airborne translocation of mammals using parachutes,Unknown effectiveness (limited evidence)
132,Allow forest to regenerate naturally following logging,Unknown effectiveness (limited evidence)
133,Allow natural regeneration of ground cover beneath perennial crops,Unknown effectiveness (limited evidence)
134,"Allow only small-scale, traditional (artisanal) fishing",Awaiting assessment
135,Allow periodic fishing only,Awaiting assessment
136,Allow plants to adjust to field conditions before planting,No evidence found (no assessment)
137,Allow primates to adapt to local habitat conditions for some time before introduction to the wild,Unknown effectiveness (limited evidence)
138,Allow shrubland to regenerate without active management,Likely to be beneficial
139,Allow sustainable use of peatlands,No evidence found (no assessment)
140,Alter artificial nest sites to discourage brood parasitism,Unknown effectiveness (limited evidence)
141,Alter cage size,Awaiting assessment
142,Alter habitat to encourage birds to leave an area,Unknown effectiveness (limited evidence)
143,Alter incubation temperatures to achieve optimal/desired sex ratio: Crocodilians,Awaiting assessment
144,Alter incubation temperatures to achieve optimal/desired sex ratio: Sea turtles,Awaiting assessment
145,Alter incubation temperatures to achieve optimal/desired sex ratio: Snakes & lizards,Awaiting assessment
146,"Alter incubation temperatures to achieve optimal/desired sex ratio: Tortoises, terrapins, side-necked & softshell turtles",Awaiting assessment
147,Alter incubation temperatures to achieve optimal/desired sex ratio: Tuatara,Awaiting assessment
148,Alter lighting,Awaiting assessment
149,Alter road surfaces,Awaiting assessment
150,Alter the timing of insecticide use,Unknown effectiveness (limited evidence)
151,Alter water flow rates,Awaiting assessment
152,Amend the soil using a mix of organic and inorganic amendments,Beneficial
153,Amend the soil with bacteria or fungi,Unknown effectiveness (limited evidence)
154,Amend the soil with composts not otherwise specified,Unknown effectiveness (limited evidence)
155,Amend the soil with crops grown as green manures,Unknown effectiveness (limited evidence)
156,Amend the soil with formulated chemical compounds,Likely to be beneficial
157,Amend the soil with fresh plant material or crop remains,Trade-off between benefit and harms
158,Amend the soil with manures and agricultural composts,Trade-off between benefit and harms
159,Amend the soil with municipal wastes or their composts,Trade-off between benefit and harms
160,Amend the soil with non-chemical minerals and mineral wastes,Unknown effectiveness (limited evidence)
161,Amend the soil with organic processing wastes or their composts,Unknown effectiveness (limited evidence)
162,American bullfrog control: Application of a biocide,Unknown effectiveness (limited evidence)
163,American bullfrog control: Biological control of co-occurring beneficial species,No evidence found (no assessment)
164,American bullfrog control: Biological control using native predators,Likely to be beneficial
165,American bullfrog control: Collection of egg clutches,No evidence found (no assessment)
166,American bullfrog control: Direct removal of adults,Likely to be beneficial
167,American bullfrog control: Direct removal of juveniles,Likely to be beneficial
168,American bullfrog control: Draining ponds and altering the length of time for which the pond contains water,No evidence found (no assessment)
169,American bullfrog control: Fencing,No evidence found (no assessment)
170,American bullfrog control: Habitat modification,No evidence found (no assessment)
171,American bullfrog control: Pond destruction,No evidence found (no assessment)
172,American bullfrog control: Public education,No evidence found (no assessment)
173,Amphibians: Allow adults to attend their eggs,No evidence found (no assessment)
174,Amphibians: Allow amphibians from highly seasonal environments to have a period of dormancy during a simulated drought period,No evidence found (no assessment)
175,Amphibians: Allow female mate choice,Unknown effectiveness (limited evidence)
176,Amphibians: Allow temperate amphibians to hibernate,No evidence found (no assessment)
177,Amphibians: Formulate adult diet to reflect nutritional composition of wild foods,No evidence found (no assessment)
178,Amphibians: Formulate larval diets to improve development or survival to adulthood,Unknown effectiveness (limited evidence)
179,Amphibians: Freeze sperm or eggs for future use,Unlikely to be beneficial
180,Amphibians: Identify and breed a similar species to refine husbandry techniques prior to working with target species,Unknown effectiveness (limited evidence)
181,Amphibians: Increase caloric intake of females in preparation for breeding,Unknown effectiveness (limited evidence)
182,Amphibians: Leave infertile eggs at spawn site as food for egg-eating larvae,No evidence found (no assessment)
183,Amphibians: Manipulate adult density within the enclosure,No evidence found (no assessment)
184,Amphibians: Manipulate humidity to improve development or survival to adulthood,No evidence found (no assessment)
185,Amphibians: Manipulate larval density within the enclosure,Unknown effectiveness (limited evidence)
186,Amphibians: Manipulate quality and quantity of enclosure lighting to improve development or survival to adulthood,No evidence found (no assessment)
187,Amphibians: Manipulate sex ratio within the enclosure,Unknown effectiveness (limited evidence)
188,Amphibians: Manipulate temperature of enclosure to improve development or survival to adulthood,Trade-off between benefit and harms
189,Amphibians: Play recordings of breeding calls to simulate breeding season in the wild,Unknown effectiveness (limited evidence)
190,Amphibians: Provide artificial aquifers for species which breed in upwelling springs,Unknown effectiveness (limited evidence)
191,Amphibians: Provide multiple egg laying sites within an enclosure,Unknown effectiveness (limited evidence)
192,Amphibians: Provide natural substrate for species which do not breed in water (e.g. burrowing/tunnel breeders),Unknown effectiveness (limited evidence)
193,"Amphibians: Provide particular enclosure furniture for calling sites, breeding areas or egg laying sites",Unknown effectiveness (limited evidence)
194,Amphibians: Provide particular plants as breeding areas or egg laying sites,Unknown effectiveness (limited evidence)
195,Amphibians: Provide visual barriers for territorial species,No evidence found (no assessment)
196,Amphibians: Separate sexes in non-breeding periods,Unknown effectiveness (limited evidence)
197,Amphibians: Simulate rainfall using sound recordings of rain and/or thunderstorms,No evidence found (no assessment)
198,Amphibians: Supplement diets with carotenoids (including for colouration),Unknown effectiveness (limited evidence)
199,Amphibians: Supplement diets with vitamins/ calcium applied to food (e.g. dusting prey),No evidence found (no assessment)
200,Amphibians: Supplement diets with vitamins/ calcium fed to prey (e.g. prey gut loading),No evidence found (no assessment)
201,Amphibians: Use artificial cloning from frozen or fresh tissue,No evidence found (no assessment)
202,Amphibians: Use artificial fertilization in captive breeding,Trade-off between benefit and harms
203,Amphibians: Use hormone treatment to induce sperm and egg release,Trade-off between benefit and harms
204,Amphibians: Vary artificial rainfall to simulate seasonal changes in the wild,Unknown effectiveness (limited evidence)
205,Amphibians: Vary duration of enclosure lighting to simulate seasonal changes in the wild,No evidence found (no assessment)
206,"Amphibians: Vary enclosure humidity to simulate seasonal changes in the wild using humidifiers, foggers/misters or artificial rain",No evidence found (no assessment)
207,Amphibians: Vary enclosure temperature to simulate seasonal changes in the wild,Unknown effectiveness (limited evidence)
208,Amphibians: Vary food provision to reflect seasonal availability in the wild,No evidence found (no assessment)
209,Amphibians: Vary quality or quantity (UV% or gradients) of enclosure lighting to simulate seasonal changes in the wild,Unknown effectiveness (limited evidence)
210,Amphibians: Vary water flow/speed of artificial streams in enclosures for torrent breeding species,No evidence found (no assessment)
211,Angle windows to reduce collisions by birds,Unknown effectiveness (limited evidence)
212,Apply 'cross compliance' environmental standards linked to all subsidy payments,No evidence found (no assessment)
213,Apply fertilizer to trees,Unknown effectiveness (limited evidence)
214,Apply fertilizer to vegetation to increase food availability,Unknown effectiveness (limited evidence)
215,Apply fungicides to protect seedlings from fungal diseases,No evidence found (no assessment)
216,Apply herbicide and remove plants to control grass,Unknown effectiveness (limited evidence)
217,Apply herbicide and sow seeds of shrubland plants to control grass,Unknown effectiveness (limited evidence)
218,Apply herbicide before seeding/planting,Evidence not assessed
219,Apply herbicide to mid- and understorey vegetation,Likely to be ineffective or harmful
220,Apply herbicide to trees,Unknown effectiveness (limited evidence)
221,Apply herbicides after restoration planting,Unknown effectiveness (limited evidence)
222,Apply insecticide to protect seedlings from invertebrates,Unknown effectiveness (limited evidence)
223,Apply root dip to non-woody plants before planting: brackish/saline wetlands,Unknown effectiveness (limited evidence)
224,Apply root dip to non-woody plants before planting: freshwater wetlands,No evidence found (no assessment)
225,Apply root dip to trees/shrubs before planting: brackish/saline wetlands,No evidence found (no assessment)
226,Apply root dip to trees/shrubs before planting: freshwater wetlands,No evidence found (no assessment)
227,Apply textured coating to turbines,Unknown effectiveness (limited evidence)
228,Apply water to vegetation to increase food availability during drought,Unknown effectiveness (limited evidence)
229,Armour shorelines to prevent erosion,No evidence found (no assessment)
230,Artificially incubate and hand-rear bustards in captivity,Unknown effectiveness (limited evidence)
231,Artificially incubate and hand-rear cranes in captivity,Unknown effectiveness (limited evidence)
232,Artificially incubate and hand-rear gamebirds in captivity,Unknown effectiveness (limited evidence)
233,Artificially incubate and hand-rear parrots in captivity,Unknown effectiveness (limited evidence)
234,Artificially incubate and hand-rear penguins in captivity,Unknown effectiveness (limited evidence)
235,Artificially incubate and hand-rear rails in captivity,Unknown effectiveness (limited evidence)
236,Artificially incubate and hand-rear raptors in captivity,Likely to be beneficial
237,Artificially incubate and hand-rear seabirds in captivity,Likely to be beneficial
238,Artificially incubate and hand-rear songbirds in captivity,Likely to be beneficial
239,Artificially incubate and hand-rear storks and ibises in captivity,Unknown effectiveness (limited evidence)
240,Artificially incubate and hand-rear vultures in captivity,Unknown effectiveness (limited evidence)
241,Artificially incubate and hand-rear waders in captivity,Likely to be beneficial
242,Artificially incubate and hand-rear wildfowl in captivity,Unknown effectiveness (limited evidence)
243,Artificially incubate eggs or warm nests,Unknown effectiveness (limited evidence)
244,Artificially mist habitat to keep it damp,Unknown effectiveness (limited evidence)
245,Artificially shade ponds to prevent desiccation,No evidence found (no assessment)
246,Asian clams: Add chemicals to the water,Beneficial
247,Asian clams: Change pH of the water,No evidence found (no assessment)
248,Asian clams: Change salinity of the water,Beneficial
249,Asian clams: Change temperature of the water,Likely to be beneficial
250,Asian clams: Clean equipment,Likely to be beneficial
251,Asian clams: Drain the invaded water body,No evidence found (no assessment)
252,Asian clams: Exposure to disease-causing organisms,No evidence found (no assessment)
253,Asian clams: Exposure to parasites,No evidence found (no assessment)
254,Asian clams: Mechanical removal,Beneficial
255,Asian clams: Public awareness and education,No evidence found (no assessment)
256,Asian clams: Reduce oxygen in the water,Unlikely to be beneficial
257,Asian clams: Remove by hand,No evidence found (no assessment)
258,Asian clams: Use gas-impermeable barriers,Likely to be beneficial
259,Attach acoustically reflective objects to fishing gear,Unlikely to be beneficial
260,Attach an electropositive deterrent to fishing gear,Awaiting assessment
261,Augment ponds with ground water to reduce acidification,No evidence found (no assessment)
262,Augment ponds with ground water to reduce acidification,No evidence found (no assessment)
263,Automatically reduce turbine blade rotation when bat activity is high,Likely to be beneficial
264,Avoid building roads in key habitat or migration routes,No evidence found (no assessment)
265,Avoid carrying out construction work during sensitive periods,No evidence found (no assessment)
266,Avoid contact between wild primates and human-raised primates,No evidence found (no assessment)
267,Avoid illuminating key habitats,No evidence found (no assessment)
268,Avoid illumination of bat commuting routes,Likely to be beneficial
269,"Avoid illumination of bat foraging, drinking and swarming sites",Likely to be beneficial
270,Avoid planting fruit trees alongside roads/railways in areas with fruit bats,No evidence found (no assessment)
271,"Avoid slashing climbers/lianas, trees housing them, hemi-epiphytic figs, and ground vegetation",No evidence found (no assessment)
272,Avoid the use of antiparasitic drugs for livestock,No evidence found (no assessment)
273,Avoid use of lead shot,No evidence found (no assessment)
274,Avoid/minimize logging of important food tree species for primates,Unknown effectiveness (limited evidence)
275,Backfill canals or trenches: brackish/saline swamps,No evidence found (no assessment)
276,Backfill canals or trenches: brackish/salt marshes,Likely to be beneficial
277,Backfill canals or trenches: freshwater marshes,Unknown effectiveness (limited evidence)
278,Backfill canals or trenches: freshwater swamps,No evidence found (no assessment)
279,Backfill trenches dug for pipelines,No evidence found (no assessment)
280,Ban exports of hunting trophies,Unknown effectiveness (limited evidence)
281,Ban private ownership of hunted mammals,Unknown effectiveness (limited evidence)
282,Bathe in freshwater,Awaiting assessment
283,Breed bats in captivity,Unknown effectiveness (limited evidence)
284,Breed bats in captivity to supplement wild populations affected by white-nose syndrome,No evidence found (no assessment)
285,Breed for resistance traits,Awaiting assessment
286,Breed mammals in captivity,Beneficial
287,Breed marine and freshwater mammals in captivity,Trade-off between benefit and harms
288,Breed reptiles in captivity: Crocodilians,Awaiting assessment
289,Breed reptiles in captivity: Lizards,Awaiting assessment
290,Breed reptiles in captivity: Sea turtles,Awaiting assessment
291,Breed reptiles in captivity: Snakes – Boas and pythons,Awaiting assessment
292,Breed reptiles in captivity: Snakes – Colubrids,Awaiting assessment
293,Breed reptiles in captivity: Snakes – Elapids,Awaiting assessment
294,Breed reptiles in captivity: Snakes – Vipers,Awaiting assessment
295,"Breed reptiles in captivity: Tortoises, terrapins, side-necked & softshell turtles",Awaiting assessment
296,Breed reptiles in captivity: Tuatara,Awaiting assessment
297,Bring threatened wild populations into captivity,Awaiting assessment
298,Brown and black bullheads: Application of a biocide,Beneficial
299,Brown and black bullheads: Biological control of beneficial species,No evidence found (no assessment)
300,Brown and black bullheads: Biological control using native predators,No evidence found (no assessment)
301,Brown and black bullheads: Changing pH,No evidence found (no assessment)
302,Brown and black bullheads: Changing salinity,No evidence found (no assessment)
303,Brown and black bullheads: Draining invaded waterbodies,No evidence found (no assessment)
304,Brown and black bullheads: Electrofishing,No evidence found (no assessment)
305,Brown and black bullheads: Habitat manipulation,No evidence found (no assessment)
306,Brown and black bullheads: Increasing carbon dioxide concentrations,No evidence found (no assessment)
307,Brown and black bullheads: Netting,Likely to be beneficial
308,Brown and black bullheads: Public education,No evidence found (no assessment)
309,Brown and black bullheads: Trapping using sound or pheromonal lures,No evidence found (no assessment)
310,Brown and black bullheads: Using a combination of netting and electrofishing,No evidence found (no assessment)
311,Brown and black bullheads: UV radiation,No evidence found (no assessment)
312,Buffer in-field ponds,No evidence found (no assessment)
313,Build artificial bird perches to encourage seed dispersal,Unknown effectiveness (limited evidence)
314,Build barriers to protect littoral areas from boat wakes,No evidence found (no assessment)
315,Build barriers to protect littoral brackish/saline swamps from rising water levels and severe weather,No evidence found (no assessment)
316,Build barriers to protect littoral brackish/salt marshes from rising water levels and severe weather,Likely to be beneficial
317,Build barriers to protect littoral freshwater marshes from rising water levels and severe weather,No evidence found (no assessment)
318,Build barriers to protect littoral freshwater swamps from rising water levels and severe weather,No evidence found (no assessment)
319,Build barriers to protect peatlands from the sea,No evidence found (no assessment)
320,Build bird perches to encourage colonisation by plants,Unknown effectiveness (limited evidence)
321,Build bird-perches to enhance natural seed dispersal,Unknown effectiveness (limited evidence)
322,Build fences around protected areas,Unknown effectiveness (limited evidence)
323,Build fences to keep humans out,No evidence found (no assessment)
324,Build fire breaks,No evidence found (no assessment)
325,Build fire breaks,No evidence found (no assessment)
326,Burn at specific time of year,Likely to be beneficial
327,Burn leaf litter,No evidence found (no assessment)
328,Burn shrublands to reduce impacts of pollutants,Unknown effectiveness (limited evidence)
329,Burn vegetation before seeding/planting,No evidence found (no assessment)
330,Bury cables and pipelines in the seabed rather than laying them on the seabed,No evidence found (no assessment)
331,Bury drill cuttings in the seabed rather than leaving them on the seabed surface,No evidence found (no assessment)
332,Bury electricity cables to reduce electromagnetic fields,No evidence found (no assessment)
333,Bury or isolate power lines to reduce incidental bird mortality,Likely to be beneficial
334,Bury pipelines instead of surface laying and rock dumping,No evidence found (no assessment)
335,Bury surface soil/sediment,No evidence found (no assessment)
336,Bury surface soil/sediment (before planting),No evidence found (no assessment)
337,Bury upper layer of peat/soil (before planting),No evidence found (no assessment)
338,Bury upper layer of peat/soil (without planting),No evidence found (no assessment)
339,Can captive breeding have deleterious effects on individual fitness?,Evidence not assessed
340,Can nest protection increase nest abandonment?,Evidence not assessed
341,Can nest protection increase predation of adults and chicks?,Evidence not assessed
342,Can supplementary feeding increase predation or parasitism?,Awaiting assessment
343,Captive breeding and reintroduction of primates into the wild: born and raised in a free-ranging environment,Unknown effectiveness (limited evidence)
344,Captive breeding and reintroduction of primates into the wild: born and reared in cages,Unknown effectiveness (limited evidence)
345,Captive breeding and reintroduction of primates into the wild: limited free-ranging experience,Unknown effectiveness (limited evidence)
346,Captive breeding frogs,Trade-off between benefit and harms
347,Captive breeding harlequin toads (Atelopus species),Trade-off between benefit and harms
348,Captive breeding Mallorcan midwife toads,Trade-off between benefit and harms
349,Captive breeding salamanders (including newts),Trade-off between benefit and harms
350,Captive breeding toads,Trade-off between benefit and harms
351,Captive rear in large enclosures prior to release,Likely to be beneficial
352,Carnivores: Allocate fast days,Unknown effectiveness (limited evidence)
353,Carnivores: Alter feeding schedule according to visitor activity,No evidence found (no assessment)
354,Carnivores: Alter food abundance or type seasonally,No evidence found (no assessment)
355,Carnivores: Change location of food around enclosure,Unknown effectiveness (limited evidence)
356,Carnivores: Feed a plant-derived protein diet,Unknown effectiveness (limited evidence)
357,Carnivores: Feed commercially prepared diets,Unknown effectiveness (limited evidence)
358,Carnivores: Feed individuals separately,No evidence found (no assessment)
359,Carnivores: Feed individuals within a social group,No evidence found (no assessment)
360,Carnivores: Feed whole carcasses (with or without organs/gastrointestinal tract),Trade-off between benefit and harms
361,Carnivores: Hand-feed,No evidence found (no assessment)
362,Carnivores: Hide food around enclosure,Beneficial
363,Carnivores: Increase variety of food items,No evidence found (no assessment)
364,Carnivores: Present food frozen in ice,Likely to be beneficial
365,Carnivores: Present food in/on water,No evidence found (no assessment)
366,Carnivores: Present food inside objects (e.g. Boomer balls),Likely to be beneficial
367,"Carnivores: Provide bones, hides or partial carcasses",Likely to be beneficial
368,"Carnivores: Provide devices to simulate live prey, including sounds, lures, pulleys and bungees",Trade-off between benefit and harms
369,Carnivores: Provide food during natural active periods,No evidence found (no assessment)
370,Carnivores: Provide food during visitor experiences,No evidence found (no assessment)
371,Carnivores: Provide food on a random temporal schedule,Trade-off between benefit and harms
372,"Carnivores: Provide live invertebrate prey, including in feeding devices",Unknown effectiveness (limited evidence)
373,Carnivores: Provide live vertebrate prey,Unknown effectiveness (limited evidence)
374,Carnivores: Scatter food around enclosure,Unknown effectiveness (limited evidence)
375,Carnivores: Supplement meat-based diet with amino acids,Unknown effectiveness (limited evidence)
376,Carnivores: Supplement meat-based diet with fatty acids,No evidence found (no assessment)
377,Carnivores: Supplement meat-based diet with vitamins or minerals,No evidence found (no assessment)
378,Carnivores: Supplement meat-based diets with prebiotic plant material to facilitate digestion,Unknown effectiveness (limited evidence)
379,Carnivores: Use food as a reward in animal training,No evidence found (no assessment)
380,Carnivores: Use of automated feeders,No evidence found (no assessment)
381,Carry out surveillance for diseases,No evidence found (no assessment)
382,Carry out surveillance of bats to prevent the spread of disease/viruses to humans to reduce human-wildlife conflict,No evidence found (no assessment)
383,Carry out surveillance of reptiles for early treatment/action to prevent spread of disease,No evidence found (no assessment)
384,"Cease livestock grazing: Forest, open woodland & savanna",Awaiting assessment
385,Cease livestock grazing: Grassland & shrubland,Awaiting assessment
386,Cease livestock grazing: Wetland,Awaiting assessment
387,Cease or alter maintenance activities on intertidal artificial structures,No evidence found (no assessment)
388,Cease or alter maintenance activities on subtidal artificial structures,Awaiting assessment
