,Unnamed: 0,action,effectiveness,effectiveness_number
53,53,Add lime or similar chemicals before/after planting trees/shrubs: brackish/saline wetlands,No evidence found (no assessment),1
54,54,Add lime or similar chemicals before/after planting trees/shrubs: freshwater wetlands,No evidence found (no assessment),1
55,55,Add lime or similar chemicals: brackish/saline swamps,No evidence found (no assessment),1
56,56,Add lime or similar chemicals: brackish/salt marshes,No evidence found (no assessment),1
57,57,Add lime or similar chemicals: freshwater marshes,Unknown effectiveness (limited evidence),1
58,58,Add lime or similar chemicals: freshwater swamps,Unknown effectiveness (limited evidence),1
59,59,Add lime to reduce acidity and/or increase fertility,Unknown effectiveness (limited evidence),1
60,60,Add lime to shrubland to reduce the impacts of sulphur dioxide pollution,No evidence found (no assessment),1
61,61,Add lime to the soil after tree planting,Unknown effectiveness (limited evidence),1
62,62,Add lime to the soil to increase fertility,Unknown effectiveness (limited evidence),1
63,63,Add lime to water bodies to reduce acidification,Trade-off between benefit and harms,1
64,64,Add manure to soil,Unknown effectiveness (limited evidence),1
65,65,Add mixed vegetation to peatland surface,Beneficial,2
66,66,Add mosses to peatland surface,Beneficial,2
67,67,Add mulch and fertilizer to soil,Unknown effectiveness (limited evidence),1
68,68,Add mulch and fertilizer to soil (alongside planting/seeding),Unknown effectiveness (limited evidence),1
69,69,Add mulch before or after seeding/planting,Evidence not assessed,1
70,70,Add mulch to control grass,Unknown effectiveness (limited evidence),1
71,71,Add mulch to control grass and sow seed,Unknown effectiveness (limited evidence),1
72,72,Add mulch to crops,Trade-off between benefit and harms,1
73,73,Add mulch to soil (alongside planting/seeding),Unknown effectiveness (limited evidence),1
74,74,Add nutrients to new ponds as larvae food source,No evidence found (no assessment),1
75,75,Add organic fertilizer (before/after planting),No evidence found (no assessment),1
76,76,Add organic matter,Trade-off between benefit and harms,1
77,77,Add organic matter after tree planting,Unknown effectiveness (limited evidence),1
78,78,Add peat to soil,No evidence found (no assessment),1
79,79,Add peat to soil (alongside planting/seeding),Unknown effectiveness (limited evidence),1
80,80,Add perches to electricity pylons to reduce electrocution,Unlikely to be beneficial,0
81,81,Add root associated bacteria/fungi to introduced plants,Unknown effectiveness (limited evidence),1
82,82,Add root-associated fungi to plants (before planting),Unknown effectiveness (limited evidence),1
83,83,Add root-associated fungi to plants before planting,No evidence found (no assessment),1
84,84,Add salt to control problematic plants: brackish/saline swamps,No evidence found (no assessment),1
85,85,Add salt to control problematic plants: brackish/salt marshes,Unknown effectiveness (limited evidence),1
86,86,Add salt to control problematic plants: freshwater marshes,No evidence found (no assessment),1
87,87,Add salt to control problematic plants: freshwater swamps,No evidence found (no assessment),1
88,88,Add salt to ponds to reduce chytridiomycosis,Unknown effectiveness (limited evidence),1
89,89,Add sediment: brackish/saline swamps,No evidence found (no assessment),1
90,90,Add sediment: brackish/salt marshes,Likely to be beneficial,2
91,91,Add sediment: freshwater marshes,Unknown effectiveness (limited evidence),1
92,92,Add sediment: freshwater swamps,No evidence found (no assessment),1
93,93,Add specific plants to aquatic habitats,No evidence found (no assessment),1
94,94,Add sulphur to soil,Unknown effectiveness (limited evidence),1
95,95,Add sulphur to soil (alongside planting/seeding),Unknown effectiveness (limited evidence),1
96,96,Add sulphur to soil before seeding/planting,Evidence not assessed,1
97,97,Add surface mulch before/after planting non-woody plants: brackish/saline wetlands,Unknown effectiveness (limited evidence),1
98,98,Add surface mulch before/after planting non-woody plants: freshwater wetlands,Unknown effectiveness (limited evidence),1
99,99,Add surface mulch before/after planting trees/shrubs: brackish/saline wetlands,No evidence found (no assessment),1
100,100,Add surface mulch before/after planting trees/shrubs: freshwater wetlands,Unknown effectiveness (limited evidence),1
101,101,Add surface mulch: brackish/saline swamps,No evidence found (no assessment),1
102,102,Add surface mulch: brackish/salt marshes,Unknown effectiveness (limited evidence),1
103,103,Add surface mulch: freshwater marshes,No evidence found (no assessment),1
104,104,Add surface mulch: freshwater swamps,No evidence found (no assessment),1
105,105,Add topsoil,Likely to be beneficial,2
106,106,Add topsoil (alongside planting/seeding),Unknown effectiveness (limited evidence),1
107,107,Add topsoil before seeding/planting,Evidence not assessed,1
108,108,Add upland topsoil,No evidence found (no assessment),1
109,109,Add upland topsoil before/after planting non-woody plants: brackish/saline wetlands,No evidence found (no assessment),1
110,110,Add upland topsoil before/after planting non-woody plants: freshwater wetlands,Unknown effectiveness (limited evidence),1
111,111,Add upland topsoil before/after planting trees/shrubs: brackish/saline wetlands,No evidence found (no assessment),1
112,112,Add upland topsoil before/after planting trees/shrubs: freshwater wetlands,No evidence found (no assessment),1
113,113,Add water to marshes or swamps to compensate for drought,No evidence found (no assessment),1
114,114,Add water to peatlands to compensate for drought,No evidence found (no assessment),1
115,115,Add woody debris to forests,Unknown effectiveness (limited evidence),1
116,116,Add woody debris to landscapes,Awaiting assessment,1
117,117,Add woody debris to ponds,No evidence found (no assessment),1
118,118,Add woody debris to protect seeds/plants,Evidence not assessed,1
119,119,Add yellow rattle seed Rhinanthus minor to hay meadows,Unknown effectiveness (limited evidence),1
120,120,Adopt certification,Unknown effectiveness (limited evidence),1
121,121,Adopt community-based management to protect forests,Unknown effectiveness (limited evidence),1
122,122,Adopt conservation grazing of woodland,No evidence found (no assessment),1
123,123,Adopt continuous cover forestry,No evidence found (no assessment),1
124,124,Adopt ecotourism,No evidence found (no assessment),1
125,125,Adopt ecotourism principles/create an ecotourism site,No evidence found (no assessment),1
126,126,Adopt ecotourism principles/create an ecotourism site,No evidence found (no assessment),1
127,127,Adopt protected species legislation (impact on forest management),No evidence found (no assessment),1
128,128,Adopt voluntary agreements to protect peatlands,No evidence found (no assessment),1
129,129,Adopt zero burning policies near peatlands,No evidence found (no assessment),1
130,130,Aerobic training,Awaiting assessment,1
131,131,Airborne translocation of mammals using parachutes,Unknown effectiveness (limited evidence),1
132,132,Allow forest to regenerate naturally following logging,Unknown effectiveness (limited evidence),1
133,133,Allow natural regeneration of ground cover beneath perennial crops,Unknown effectiveness (limited evidence),1
134,134,"Allow only small-scale, traditional (artisanal) fishing",Awaiting assessment,1
135,135,Allow periodic fishing only,Awaiting assessment,1
136,136,Allow plants to adjust to field conditions before planting,No evidence found (no assessment),1
137,137,Allow primates to adapt to local habitat conditions for some time before introduction to the wild,Unknown effectiveness (limited evidence),1
138,138,Allow shrubland to regenerate without active management,Likely to be beneficial,2
139,139,Allow sustainable use of peatlands,No evidence found (no assessment),1
140,140,Alter artificial nest sites to discourage brood parasitism,Unknown effectiveness (limited evidence),1
141,141,Alter cage size,Awaiting assessment,1
142,142,Alter habitat to encourage birds to leave an area,Unknown effectiveness (limited evidence),1
143,143,Alter incubation temperatures to achieve optimal/desired sex ratio: Crocodilians,Awaiting assessment,1
144,144,Alter incubation temperatures to achieve optimal/desired sex ratio: Sea turtles,Awaiting assessment,1
145,145,Alter incubation temperatures to achieve optimal/desired sex ratio: Snakes & lizards,Awaiting assessment,1
146,146,"Alter incubation temperatures to achieve optimal/desired sex ratio: Tortoises, terrapins, side-necked & softshell turtles",Awaiting assessment,1
147,147,Alter incubation temperatures to achieve optimal/desired sex ratio: Tuatara,Awaiting assessment,1
148,148,Alter lighting,Awaiting assessment,1
149,149,Alter road surfaces,Awaiting assessment,1
150,150,Alter the timing of insecticide use,Unknown effectiveness (limited evidence),1
151,151,Alter water flow rates,Awaiting assessment,1
152,152,Amend the soil using a mix of organic and inorganic amendments,Beneficial,2
153,153,Amend the soil with bacteria or fungi,Unknown effectiveness (limited evidence),1
154,154,Amend the soil with composts not otherwise specified,Unknown effectiveness (limited evidence),1
155,155,Amend the soil with crops grown as green manures,Unknown effectiveness (limited evidence),1
156,156,Amend the soil with formulated chemical compounds,Likely to be beneficial,2
157,157,Amend the soil with fresh plant material or crop remains,Trade-off between benefit and harms,1
158,158,Amend the soil with manures and agricultural composts,Trade-off between benefit and harms,1
159,159,Amend the soil with municipal wastes or their composts,Trade-off between benefit and harms,1
160,160,Amend the soil with non-chemical minerals and mineral wastes,Unknown effectiveness (limited evidence),1
161,161,Amend the soil with organic processing wastes or their composts,Unknown effectiveness (limited evidence),1
162,162,American bullfrog control: Application of a biocide,Unknown effectiveness (limited evidence),1
163,163,American bullfrog control: Biological control of co-occurring beneficial species,No evidence found (no assessment),1
164,164,American bullfrog control: Biological control using native predators,Likely to be beneficial,2
165,165,American bullfrog control: Collection of egg clutches,No evidence found (no assessment),1
166,166,American bullfrog control: Direct removal of adults,Likely to be beneficial,2
167,167,American bullfrog control: Direct removal of juveniles,Likely to be beneficial,2
168,168,American bullfrog control: Draining ponds and altering the length of time for which the pond contains water,No evidence found (no assessment),1
169,169,American bullfrog control: Fencing,No evidence found (no assessment),1
170,170,American bullfrog control: Habitat modification,No evidence found (no assessment),1
171,171,American bullfrog control: Pond destruction,No evidence found (no assessment),1
172,172,American bullfrog control: Public education,No evidence found (no assessment),1
173,173,Amphibians: Allow adults to attend their eggs,No evidence found (no assessment),1
174,174,Amphibians: Allow amphibians from highly seasonal environments to have a period of dormancy during a simulated drought period,No evidence found (no assessment),1
175,175,Amphibians: Allow female mate choice,Unknown effectiveness (limited evidence),1
176,176,Amphibians: Allow temperate amphibians to hibernate,No evidence found (no assessment),1
177,177,Amphibians: Formulate adult diet to reflect nutritional composition of wild foods,No evidence found (no assessment),1
178,178,Amphibians: Formulate larval diets to improve development or survival to adulthood,Unknown effectiveness (limited evidence),1
179,179,Amphibians: Freeze sperm or eggs for future use,Unlikely to be beneficial,0
180,180,Amphibians: Identify and breed a similar species to refine husbandry techniques prior to working with target species,Unknown effectiveness (limited evidence),1
181,181,Amphibians: Increase caloric intake of females in preparation for breeding,Unknown effectiveness (limited evidence),1
182,182,Amphibians: Leave infertile eggs at spawn site as food for egg-eating larvae,No evidence found (no assessment),1
183,183,Amphibians: Manipulate adult density within the enclosure,No evidence found (no assessment),1
184,184,Amphibians: Manipulate humidity to improve development or survival to adulthood,No evidence found (no assessment),1
185,185,Amphibians: Manipulate larval density within the enclosure,Unknown effectiveness (limited evidence),1
186,186,Amphibians: Manipulate quality and quantity of enclosure lighting to improve development or survival to adulthood,No evidence found (no assessment),1
187,187,Amphibians: Manipulate sex ratio within the enclosure,Unknown effectiveness (limited evidence),1
188,188,Amphibians: Manipulate temperature of enclosure to improve development or survival to adulthood,Trade-off between benefit and harms,1
189,189,Amphibians: Play recordings of breeding calls to simulate breeding season in the wild,Unknown effectiveness (limited evidence),1
190,190,Amphibians: Provide artificial aquifers for species which breed in upwelling springs,Unknown effectiveness (limited evidence),1
191,191,Amphibians: Provide multiple egg laying sites within an enclosure,Unknown effectiveness (limited evidence),1
192,192,Amphibians: Provide natural substrate for species which do not breed in water (e.g. burrowing/tunnel breeders),Unknown effectiveness (limited evidence),1
193,193,"Amphibians: Provide particular enclosure furniture for calling sites, breeding areas or egg laying sites",Unknown effectiveness (limited evidence),1
194,194,Amphibians: Provide particular plants as breeding areas or egg laying sites,Unknown effectiveness (limited evidence),1
195,195,Amphibians: Provide visual barriers for territorial species,No evidence found (no assessment),1
196,196,Amphibians: Separate sexes in non-breeding periods,Unknown effectiveness (limited evidence),1
197,197,Amphibians: Simulate rainfall using sound recordings of rain and/or thunderstorms,No evidence found (no assessment),1
198,198,Amphibians: Supplement diets with carotenoids (including for colouration),Unknown effectiveness (limited evidence),1
199,199,Amphibians: Supplement diets with vitamins/ calcium applied to food (e.g. dusting prey),No evidence found (no assessment),1
200,200,Amphibians: Supplement diets with vitamins/ calcium fed to prey (e.g. prey gut loading),No evidence found (no assessment),1
201,201,Amphibians: Use artificial cloning from frozen or fresh tissue,No evidence found (no assessment),1
202,202,Amphibians: Use artificial fertilization in captive breeding,Trade-off between benefit and harms,1
203,203,Amphibians: Use hormone treatment to induce sperm and egg release,Trade-off between benefit and harms,1
204,204,Amphibians: Vary artificial rainfall to simulate seasonal changes in the wild,Unknown effectiveness (limited evidence),1
205,205,Amphibians: Vary duration of enclosure lighting to simulate seasonal changes in the wild,No evidence found (no assessment),1
206,206,"Amphibians: Vary enclosure humidity to simulate seasonal changes in the wild using humidifiers, foggers/misters or artificial rain",No evidence found (no assessment),1
207,207,Amphibians: Vary enclosure temperature to simulate seasonal changes in the wild,Unknown effectiveness (limited evidence),1
208,208,Amphibians: Vary food provision to reflect seasonal availability in the wild,No evidence found (no assessment),1
209,209,Amphibians: Vary quality or quantity (UV% or gradients) of enclosure lighting to simulate seasonal changes in the wild,Unknown effectiveness (limited evidence),1
210,210,Amphibians: Vary water flow/speed of artificial streams in enclosures for torrent breeding species,No evidence found (no assessment),1
211,211,Angle windows to reduce collisions by birds,Unknown effectiveness (limited evidence),1
212,212,Apply 'cross compliance' environmental standards linked to all subsidy payments,No evidence found (no assessment),1
213,213,Apply fertilizer to trees,Unknown effectiveness (limited evidence),1
214,214,Apply fertilizer to vegetation to increase food availability,Unknown effectiveness (limited evidence),1
215,215,Apply fungicides to protect seedlings from fungal diseases,No evidence found (no assessment),1
216,216,Apply herbicide and remove plants to control grass,Unknown effectiveness (limited evidence),1
217,217,Apply herbicide and sow seeds of shrubland plants to control grass,Unknown effectiveness (limited evidence),1
218,218,Apply herbicide before seeding/planting,Evidence not assessed,1
219,219,Apply herbicide to mid- and understorey vegetation,Likely to be ineffective or harmful,0
220,220,Apply herbicide to trees,Unknown effectiveness (limited evidence),1
221,221,Apply herbicides after restoration planting,Unknown effectiveness (limited evidence),1
222,222,Apply insecticide to protect seedlings from invertebrates,Unknown effectiveness (limited evidence),1
223,223,Apply root dip to non-woody plants before planting: brackish/saline wetlands,Unknown effectiveness (limited evidence),1
224,224,Apply root dip to non-woody plants before planting: freshwater wetlands,No evidence found (no assessment),1
225,225,Apply root dip to trees/shrubs before planting: brackish/saline wetlands,No evidence found (no assessment),1
226,226,Apply root dip to trees/shrubs before planting: freshwater wetlands,No evidence found (no assessment),1
227,227,Apply textured coating to turbines,Unknown effectiveness (limited evidence),1
228,228,Apply water to vegetation to increase food availability during drought,Unknown effectiveness (limited evidence),1
229,229,Armour shorelines to prevent erosion,No evidence found (no assessment),1
230,230,Artificially incubate and hand-rear bustards in captivity,Unknown effectiveness (limited evidence),1
231,231,Artificially incubate and hand-rear cranes in captivity,Unknown effectiveness (limited evidence),1
232,232,Artificially incubate and hand-rear gamebirds in captivity,Unknown effectiveness (limited evidence),1
233,233,Artificially incubate and hand-rear parrots in captivity,Unknown effectiveness (limited evidence),1
234,234,Artificially incubate and hand-rear penguins in captivity,Unknown effectiveness (limited evidence),1
235,235,Artificially incubate and hand-rear rails in captivity,Unknown effectiveness (limited evidence),1
236,236,Artificially incubate and hand-rear raptors in captivity,Likely to be beneficial,2
237,237,Artificially incubate and hand-rear seabirds in captivity,Likely to be beneficial,2
238,238,Artificially incubate and hand-rear songbirds in captivity,Likely to be beneficial,2
239,239,Artificially incubate and hand-rear storks and ibises in captivity,Unknown effectiveness (limited evidence),1
240,240,Artificially incubate and hand-rear vultures in captivity,Unknown effectiveness (limited evidence),1
241,241,Artificially incubate and hand-rear waders in captivity,Likely to be beneficial,2
242,242,Artificially incubate and hand-rear wildfowl in captivity,Unknown effectiveness (limited evidence),1
243,243,Artificially incubate eggs or warm nests,Unknown effectiveness (limited evidence),1
244,244,Artificially mist habitat to keep it damp,Unknown effectiveness (limited evidence),1
245,245,Artificially shade ponds to prevent desiccation,No evidence found (no assessment),1
246,246,Asian clams: Add chemicals to the water,Beneficial,2
247,247,Asian clams: Change pH of the water,No evidence found (no assessment),1
248,248,Asian clams: Change salinity of the water,Beneficial,2
249,249,Asian clams: Change temperature of the water,Likely to be beneficial,2
250,250,Asian clams: Clean equipment,Likely to be beneficial,2
251,251,Asian clams: Drain the invaded water body,No evidence found (no assessment),1
252,252,Asian clams: Exposure to disease-causing organisms,No evidence found (no assessment),1
253,253,Asian clams: Exposure to parasites,No evidence found (no assessment),1
254,254,Asian clams: Mechanical removal,Beneficial,2
255,255,Asian clams: Public awareness and education,No evidence found (no assessment),1
256,256,Asian clams: Reduce oxygen in the water,Unlikely to be beneficial,0
257,257,Asian clams: Remove by hand,No evidence found (no assessment),1
258,258,Asian clams: Use gas-impermeable barriers,Likely to be beneficial,2
259,259,Attach acoustically reflective objects to fishing gear,Unlikely to be beneficial,0
260,260,Attach an electropositive deterrent to fishing gear,Awaiting assessment,1
261,261,Augment ponds with ground water to reduce acidification,No evidence found (no assessment),1
262,262,Augment ponds with ground water to reduce acidification,No evidence found (no assessment),1
263,263,Automatically reduce turbine blade rotation when bat activity is high,Likely to be beneficial,2
264,264,Avoid building roads in key habitat or migration routes,No evidence found (no assessment),1
265,265,Avoid carrying out construction work during sensitive periods,No evidence found (no assessment),1
266,266,Avoid contact between wild primates and human-raised primates,No evidence found (no assessment),1
267,267,Avoid illuminating key habitats,No evidence found (no assessment),1
268,268,Avoid illumination of bat commuting routes,Likely to be beneficial,2
269,269,"Avoid illumination of bat foraging, drinking and swarming sites",Likely to be beneficial,2
270,270,Avoid planting fruit trees alongside roads/railways in areas with fruit bats,No evidence found (no assessment),1
271,271,"Avoid slashing climbers/lianas, trees housing them, hemi-epiphytic figs, and ground vegetation",No evidence found (no assessment),1
272,272,Avoid the use of antiparasitic drugs for livestock,No evidence found (no assessment),1
273,273,Avoid use of lead shot,No evidence found (no assessment),1
274,274,Avoid/minimize logging of important food tree species for primates,Unknown effectiveness (limited evidence),1
275,275,Backfill canals or trenches: brackish/saline swamps,No evidence found (no assessment),1
276,276,Backfill canals or trenches: brackish/salt marshes,Likely to be beneficial,2
277,277,Backfill canals or trenches: freshwater marshes,Unknown effectiveness (limited evidence),1
278,278,Backfill canals or trenches: freshwater swamps,No evidence found (no assessment),1
279,279,Backfill trenches dug for pipelines,No evidence found (no assessment),1
280,280,Ban exports of hunting trophies,Unknown effectiveness (limited evidence),1
281,281,Ban private ownership of hunted mammals,Unknown effectiveness (limited evidence),1
282,282,Bathe in freshwater,Awaiting assessment,1
283,283,Breed bats in captivity,Unknown effectiveness (limited evidence),1
284,284,Breed bats in captivity to supplement wild populations affected by white-nose syndrome,No evidence found (no assessment),1
285,285,Breed for resistance traits,Awaiting assessment,1
286,286,Breed mammals in captivity,Beneficial,2
287,287,Breed marine and freshwater mammals in captivity,Trade-off between benefit and harms,1
288,288,Breed reptiles in captivity: Crocodilians,Awaiting assessment,1
289,289,Breed reptiles in captivity: Lizards,Awaiting assessment,1
290,290,Breed reptiles in captivity: Sea turtles,Awaiting assessment,1
291,291,Breed reptiles in captivity: Snakes – Boas and pythons,Awaiting assessment,1
292,292,Breed reptiles in captivity: Snakes – Colubrids,Awaiting assessment,1
293,293,Breed reptiles in captivity: Snakes – Elapids,Awaiting assessment,1
294,294,Breed reptiles in captivity: Snakes – Vipers,Awaiting assessment,1
295,295,"Breed reptiles in captivity: Tortoises, terrapins, side-necked & softshell turtles",Awaiting assessment,1
296,296,Breed reptiles in captivity: Tuatara,Awaiting assessment,1
297,297,Bring threatened wild populations into captivity,Awaiting assessment,1
298,298,Brown and black bullheads: Application of a biocide,Beneficial,2
299,299,Brown and black bullheads: Biological control of beneficial species,No evidence found (no assessment),1
300,300,Brown and black bullheads: Biological control using native predators,No evidence found (no assessment),1
301,301,Brown and black bullheads: Changing pH,No evidence found (no assessment),1
302,302,Brown and black bullheads: Changing salinity,No evidence found (no assessment),1
303,303,Brown and black bullheads: Draining invaded waterbodies,No evidence found (no assessment),1
304,304,Brown and black bullheads: Electrofishing,No evidence found (no assessment),1
305,305,Brown and black bullheads: Habitat manipulation,No evidence found (no assessment),1
306,306,Brown and black bullheads: Increasing carbon dioxide concentrations,No evidence found (no assessment),1
307,307,Brown and black bullheads: Netting,Likely to be beneficial,2
308,308,Brown and black bullheads: Public education,No evidence found (no assessment),1
309,309,Brown and black bullheads: Trapping using sound or pheromonal lures,No evidence found (no assessment),1
310,310,Brown and black bullheads: Using a combination of netting and electrofishing,No evidence found (no assessment),1
311,311,Brown and black bullheads: UV radiation,No evidence found (no assessment),1
312,312,Buffer in-field ponds,No evidence found (no assessment),1
313,313,Build artificial bird perches to encourage seed dispersal,Unknown effectiveness (limited evidence),1
314,314,Build barriers to protect littoral areas from boat wakes,No evidence found (no assessment),1
315,315,Build barriers to protect littoral brackish/saline swamps from rising water levels and severe weather,No evidence found (no assessment),1
316,316,Build barriers to protect littoral brackish/salt marshes from rising water levels and severe weather,Likely to be beneficial,2
317,317,Build barriers to protect littoral freshwater marshes from rising water levels and severe weather,No evidence found (no assessment),1
318,318,Build barriers to protect littoral freshwater swamps from rising water levels and severe weather,No evidence found (no assessment),1
319,319,Build barriers to protect peatlands from the sea,No evidence found (no assessment),1
320,320,Build bird perches to encourage colonisation by plants,Unknown effectiveness (limited evidence),1
321,321,Build bird-perches to enhance natural seed dispersal,Unknown effectiveness (limited evidence),1
322,322,Build fences around protected areas,Unknown effectiveness (limited evidence),1
323,323,Build fences to keep humans out,No evidence found (no assessment),1
324,324,Build fire breaks,No evidence found (no assessment),1
325,325,Build fire breaks,No evidence found (no assessment),1
326,326,Burn at specific time of year,Likely to be beneficial,2
327,327,Burn leaf litter,No evidence found (no assessment),1
328,328,Burn shrublands to reduce impacts of pollutants,Unknown effectiveness (limited evidence),1
329,329,Burn vegetation before seeding/planting,No evidence found (no assessment),1
330,330,Bury cables and pipelines in the seabed rather than laying them on the seabed,No evidence found (no assessment),1
331,331,Bury drill cuttings in the seabed rather than leaving them on the seabed surface,No evidence found (no assessment),1
332,332,Bury electricity cables to reduce electromagnetic fields,No evidence found (no assessment),1
333,333,Bury or isolate power lines to reduce incidental bird mortality,Likely to be beneficial,2
334,334,Bury pipelines instead of surface laying and rock dumping,No evidence found (no assessment),1
335,335,Bury surface soil/sediment,No evidence found (no assessment),1
336,336,Bury surface soil/sediment (before planting),No evidence found (no assessment),1
337,337,Bury upper layer of peat/soil (before planting),No evidence found (no assessment),1
338,338,Bury upper layer of peat/soil (without planting),No evidence found (no assessment),1
339,339,Can captive breeding have deleterious effects on individual fitness?,Evidence not assessed,1
340,340,Can nest protection increase nest abandonment?,Evidence not assessed,1
341,341,Can nest protection increase predation of adults and chicks?,Evidence not assessed,1
342,342,Can supplementary feeding increase predation or parasitism?,Awaiting assessment,1
343,343,Captive breeding and reintroduction of primates into the wild: born and raised in a free-ranging environment,Unknown effectiveness (limited evidence),1
344,344,Captive breeding and reintroduction of primates into the wild: born and reared in cages,Unknown effectiveness (limited evidence),1
345,345,Captive breeding and reintroduction of primates into the wild: limited free-ranging experience,Unknown effectiveness (limited evidence),1
346,346,Captive breeding frogs,Trade-off between benefit and harms,1
347,347,Captive breeding harlequin toads (Atelopus species),Trade-off between benefit and harms,1
348,348,Captive breeding Mallorcan midwife toads,Trade-off between benefit and harms,1
349,349,Captive breeding salamanders (including newts),Trade-off between benefit and harms,1
350,350,Captive breeding toads,Trade-off between benefit and harms,1
351,351,Captive rear in large enclosures prior to release,Likely to be beneficial,2
352,352,Carnivores: Allocate fast days,Unknown effectiveness (limited evidence),1
353,353,Carnivores: Alter feeding schedule according to visitor activity,No evidence found (no assessment),1
354,354,Carnivores: Alter food abundance or type seasonally,No evidence found (no assessment),1
